"STOCKNO","DESCRIP","CATEGORY","ITEMTYPE","BINLOC","PSTRUC","SUPPCODE","COST","LPCOST","UNIT","SORDER","PORDER","INSTOCK","FAULTY","SOSTOCK","SUPSTOCK","TSTOCK","RETAILA","RETAILB","RETAILC","BFWDCOUNT1","FAULTYSTOCK1","SWOPSTOCK1","SUPSTOCK1","TSTOCK1","BFWDCOST1","SALESCOUNT1","SALESVALUE1","COSTOFSALES1","PURCHCOUNT1","PURCHVALUE1"
"33715-DM","PADLOCK CLOCK","999","0","",9,"",45.0000,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-3478-3C","TABLE MOUNTAIN MAGNET","999","0","",9,"",3.4500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-3478-3E","THREE RONDAWELS MAGNET","999","0","",9,"",3.4500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-2B","ELEPHANT THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-2E","BUCK THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-3A","GIRAFFE THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-3C","LEOPARD THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-3D","LION THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-3F","RHINO THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
"38-6117-3G","ZEBRA THERMO METER MAGNET","999","0","",9,"",4.7500,0.0000,"EA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,10.50,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00
